survey_prefix,area_code,datatype_code,size_code,ownership_code,industry_code,industry_title,year,aggregation_level,first_quarter_status_code,first_quarter_number_of_establishments,january_employment,february_employment,march_employment,first_quarter_total_wages,first_quarter_taxable_wages,first_quarter_contributions,first_quarter_average_weekly_wage,second_quarter_status_code,second_quarter_number_of_establishments,april_employment,may_employment,june_employment,second_quarter_total_wages,second_quarter_taxable_wages,second_quarter_contributions,second_quarter_average_weekly_wage,third_quarter_status_code,third_quarter_number_of_establishments,july_employment,august_employment,september_employment,third_quarter_total_wages,third_quarter_taxable_wages,third_quarter_contributions,third_quarter_average_weekly_wage,fourth_quarter_status_code,fourth_quarter_number_of_establishments,october_employment,november_employment,december_employment,fourth_quarter_total_wages,fourth_quarter_taxable_wages,fourth_quarter_contributions,fourth_quarter_average_weekly_wage,annual_status_code,annual_average_number_of_establishments,annual_average_employment,annual_total_wages,annual_taxable_wages,annual_contributions,annual_average_weekly_wage,annual_average_pay
ENU,48423,0,0,1,921130,Public finance activities,2010,78,,1,25,26,27,457217,0,0,1353,,1,28,27,27,532063,0,0,1497,,1,29,27,27,495583,0,0,1378,,1,26,26,25,515248,0,0,1544,,1,27,2000111,0,0,1442,75004
ENU,48423,0,0,1,92119,Other general government support,2010,77,,2,5,4,5,61792,0,0,1019,,2,4,3,5,57622,0,0,1108,,2,4,4,5,62319,0,0,1106,,2,5,4,5,60879,0,0,1004,,2,4,242612,0,0,1056,54931
ENU,48423,0,0,1,921190,Other general government support,2010,78,,2,5,4,5,61792,0,0,1019,,2,4,3,5,57622,0,0,1108,,2,4,4,5,62319,0,0,1106,,2,5,4,5,60879,0,0,1004,,2,4,242612,0,0,1056,54931
ENU,48423,0,0,1,922,"Justice, public order, and safety activities",2010,75,,9,197,196,197,4282164,0,0,1675,,9,200,199,197,4990744,0,0,1932,,9,198,199,198,4216229,0,0,1635,,8,199,201,199,4981069,0,0,1919,,9,198,18470206,0,0,1791,93127
ENU,48423,0,0,1,9221,"Justice, public order, and safety activities",2010,76,,9,197,196,197,4282164,0,0,1675,,9,200,199,197,4990744,0,0,1932,,9,198,199,198,4216229,0,0,1635,,8,199,201,199,4981069,0,0,1919,,9,198,18470206,0,0,1791,93127
ENU,48423,0,0,1,92211,Courts,2010,77,,3,106,106,107,2169665,0,0,1570,,3,107,107,107,2507567,0,0,1803,,3,109,107,107,2218313,0,0,1585,,2,108,109,110,2581894,0,0,1822,,3,108,9477439,0,0,1695,88162
ENU,48423,0,0,1,922110,Courts,2010,78,,3,106,106,107,2169665,0,0,1570,,3,107,107,107,2507567,0,0,1803,,3,109,107,107,2218313,0,0,1585,,2,108,109,110,2581894,0,0,1822,,3,108,9477439,0,0,1695,88162
ENU,48423,0,0,1,92212,Police protection,2010,77,,5,55,55,55,1275414,0,0,1784,,5,55,54,53,1434078,0,0,2043,,5,51,54,53,1131476,0,0,1653,,5,53,54,52,1402759,0,0,2036,,5,54,5243727,0,0,1879,97709
ENU,48423,0,0,1,922120,Police protection,2010,78,,5,55,55,55,1275414,0,0,1784,,5,55,54,53,1434078,0,0,2043,,5,51,54,53,1131476,0,0,1653,,5,53,54,52,1402759,0,0,2036,,5,54,5243727,0,0,1879,97709
ENU,48423,0,0,1,92213,Legal counsel and prosecution,2010,77,,1,36,35,35,837085,0,0,1822,,1,38,38,37,1049099,0,0,2142,,1,38,38,38,866440,0,0,1754,,1,38,38,37,996416,0,0,2035,,1,37,3749040,0,0,1940,100871
ENU,48423,0,0,1,922130,Legal counsel and prosecution,2010,78,,1,36,35,35,837085,0,0,1822,,1,38,38,37,1049099,0,0,2142,,1,38,38,38,866440,0,0,1754,,1,38,38,37,996416,0,0,2035,,1,37,3749040,0,0,1940,100871
ENU,48423,0,0,1,923,Administration of human resource programs,2010,75,,1,35,35,35,529223,0,0,1163,,1,34,37,40,672775,0,0,1399,,1,41,40,41,590186,0,0,1116,,1,41,40,39,678428,0,0,1305,,1,38,2470612,0,0,1245,64732
ENU,48423,0,0,1,9231,Administration of human resource programs,2010,76,,1,35,35,35,529223,0,0,1163,,1,34,37,40,672775,0,0,1399,,1,41,40,41,590186,0,0,1116,,1,41,40,39,678428,0,0,1305,,1,38,2470612,0,0,1245,64732
ENU,48423,0,0,1,92313,Other human resource programs administration,2010,77,,1,35,35,35,529223,0,0,1163,,1,34,37,40,672775,0,0,1399,,1,41,40,41,590186,0,0,1116,,1,41,40,39,678428,0,0,1305,,1,38,2470612,0,0,1245,64732
ENU,48423,0,0,1,923130,Other human resource programs administration,2010,78,,1,35,35,35,529223,0,0,1163,,1,34,37,40,672775,0,0,1399,,1,41,40,41,590186,0,0,1116,,1,41,40,39,678428,0,0,1305,,1,38,2470612,0,0,1245,64732
ENU,48423,0,0,1,924,Administration of environmental programs,2010,75,,2,3,3,3,48561,0,0,1245,,2,3,6,5,60076,0,0,990,,2,5,5,9,68166,0,0,828,,2,5,5,8,80020,0,0,1026,,2,5,256823,0,0,988,51365
ENU,48423,0,0,1,9241,Administration of environmental programs,2010,76,,2,3,3,3,48561,0,0,1245,,2,3,6,5,60076,0,0,990,,2,5,5,9,68166,0,0,828,,2,5,5,8,80020,0,0,1026,,2,5,256823,0,0,988,51365
ENU,48423,0,0,1,92412,Administration of conservation programs,2010,77,,2,3,3,3,48561,0,0,1245,,2,3,6,5,60076,0,0,990,,2,5,5,9,68166,0,0,828,,2,5,5,8,80020,0,0,1026,,2,5,256823,0,0,988,51365
ENU,48423,0,0,1,924120,Administration of conservation programs,2010,78,,2,3,3,3,48561,0,0,1245,,2,3,6,5,60076,0,0,990,,2,5,5,9,68166,0,0,828,,2,5,5,8,80020,0,0,1026,,2,5,256823,0,0,988,51365
ENU,48423,0,0,1,926,Administration of economic programs,2010,75,,6,29,28,39,400449,0,0,963,,6,43,140,95,668013,0,0,555,,6,64,39,27,428988,0,0,762,,7,27,27,27,433066,0,0,1234,,6,49,1930516,0,0,762,39600
ENU,48423,0,0,1,9261,Administration of economic programs,2010,76,,6,29,28,39,400449,0,0,963,,6,43,140,95,668013,0,0,555,,6,64,39,27,428988,0,0,762,,7,27,27,27,433066,0,0,1234,,6,49,1930516,0,0,762,39600
ENU,48423,0,0,1,92611,Administration of general economic programs,2010,77,,1,1,1,10,24276,0,0,467,,1,15,112,68,246825,0,0,292,,1,36,11,0,53674,0,0,264,,1,0,0,0,0,0,0,0,,1,21,324775,0,0,295,15344
ENU,48423,0,0,1,926110,Administration of general economic programs,2010,78,,1,1,1,10,24276,0,0,467,,1,15,112,68,246825,0,0,292,,1,36,11,0,53674,0,0,264,,1,0,0,0,0,0,0,0,,1,21,324775,0,0,295,15344
ENU,48423,0,0,1,92612,Transportation program administration,2010,77,,3,22,22,22,288678,0,0,1009,,3,22,23,22,328700,0,0,1132,,3,23,23,23,300795,0,0,1006,,3,23,23,23,356242,0,0,1191,,3,23,1274415,0,0,1085,56432
ENU,48423,0,0,1,926120,Transportation program administration,2010,78,,3,22,22,22,288678,0,0,1009,,3,22,23,22,328700,0,0,1132,,3,23,23,23,300795,0,0,1006,,3,23,23,23,356242,0,0,1191,,3,23,1274415,0,0,1085,56432
ENU,48423,0,0,1,92614,Agricultural market and commodity regulation,2010,77,,1,4,3,5,59814,0,0,1150,,1,5,4,4,81947,0,0,1455,,1,4,4,3,64880,0,0,1361,,1,3,3,3,66009,0,0,1693,,1,4,272650,0,0,1398,72707
ENU,48423,0,0,1,926140,Agricultural market and commodity regulation,2010,78,,1,4,3,5,59814,0,0,1150,,1,5,4,4,81947,0,0,1455,,1,4,4,3,64880,0,0,1361,,1,3,3,3,66009,0,0,1693,,1,4,272650,0,0,1398,72707
ENU,48423,0,0,1,92615,Licensing and regulating commercial sectors,2010,77,,1,2,2,2,27681,0,0,1065,,1,1,1,1,10541,0,0,811,,1,1,1,1,9639,0,0,741,,2,1,1,1,10815,0,0,832,,1,1,58676,0,0,903,46941
ENU,48423,0,0,1,926150,Licensing and regulating commercial sectors,2010,78,,1,2,2,2,27681,0,0,1065,,1,1,1,1,10541,0,0,811,,1,1,1,1,9639,0,0,741,,2,1,1,1,10815,0,0,832,,1,1,58676,0,0,903,46941
ENU,48423,0,0,1,928,National security and international affairs,2010,75,,2,3,3,3,26079,0,0,669,,2,3,3,3,27182,0,0,697,,2,2,2,2,18616,0,0,716,,2,2,2,3,23590,0,0,778,,2,3,95467,0,0,711,36955
ENU,48423,0,0,1,9281,National security and international affairs,2010,76,,2,3,3,3,26079,0,0,669,,2,3,3,3,27182,0,0,697,,2,2,2,2,18616,0,0,716,,2,2,2,3,23590,0,0,778,,2,3,95467,0,0,711,36955
ENU,48423,0,0,1,92811,National security,2010,77,,2,3,3,3,26079,0,0,669,,2,3,3,3,27182,0,0,697,,2,2,2,2,18616,0,0,716,,2,2,2,3,23590,0,0,778,,2,3,95467,0,0,711,36955
ENU,48423,0,0,1,928110,National security,2010,78,,2,3,3,3,26079,0,0,669,,2,3,3,3,27182,0,0,697,,2,2,2,2,18616,0,0,716,,2,2,2,3,23590,0,0,778,,2,3,95467,0,0,711,36955
ENU,48423,0,0,2,10,"Total, all industries",2010,71,,39,3053,3106,3090,34629463,0,0,864,,39,3139,3132,2945,37461393,0,0,938,,40,2927,2897,3043,35112298,0,0,914,,40,3128,3149,3148,37079281,0,0,908,,40,3063,144282435,0,0,906,47104
ENU,48423,0,0,2,101,Goods-Producing,2010,72,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,1012,Construction,2010,73,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,102,Service-Providing,2010,72,N,38,0,0,0,0,0,0,0,N,38,0,0,0,0,0,0,0,N,39,0,0,0,0,0,0,0,N,39,0,0,0,0,0,0,0,N,39,0,0,0,0,0,0
ENU,48423,0,0,2,1025,Education and Health Services,2010,73,,12,2137,2191,2169,23789186,0,0,845,,12,2209,2206,2021,26485403,0,0,950,,13,2004,1973,2138,24060499,0,0,908,,13,2223,2246,2247,26168584,0,0,899,,13,2147,100503672,0,0,900,46811
ENU,48423,0,0,2,1028,Public Administration,2010,73,N,26,0,0,0,0,0,0,0,N,26,0,0,0,0,0,0,0,N,26,0,0,0,0,0,0,0,N,26,0,0,0,0,0,0,0,N,26,0,0,0,0,0,0
ENU,48423,0,0,2,23,Construction,2010,74,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,237,Heavy and civil engineering construction,2010,75,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,2373,"Highway, street, and bridge construction",2010,76,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,23731,"Highway, street, and bridge construction",2010,77,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,237310,"Highway, street, and bridge construction",2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,61,Educational services,2010,74,N,8,0,0,0,0,0,0,0,N,8,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0
ENU,48423,0,0,2,611,Educational services,2010,75,N,8,0,0,0,0,0,0,0,N,8,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0
ENU,48423,0,0,2,6113,Colleges and universities,2010,76,N,8,0,0,0,0,0,0,0,N,8,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0
ENU,48423,0,0,2,61131,Colleges and universities,2010,77,N,8,0,0,0,0,0,0,0,N,8,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0
ENU,48423,0,0,2,611310,Colleges and universities,2010,78,N,8,0,0,0,0,0,0,0,N,8,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0,0,N,9,0,0,0,0,0,0
ENU,48423,0,0,2,62,Health care and social assistance,2010,74,N,4,0,0,0,0,0,0,0,N,4,0,0,0,0,0,0,0,N,4,0,0,0,0,0,0,0,N,4,0,0,0,0,0,0,0,N,4,0,0,0,0,0,0
ENU,48423,0,0,2,621,Ambulatory health care services,2010,75,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,6214,Outpatient care centers,2010,76,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,62149,Other outpatient care centers,2010,77,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,621498,All other outpatient care centers,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,622,Hospitals,2010,75,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,6223,Other hospitals,2010,76,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,62231,Other hospitals,2010,77,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,622310,Other hospitals,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,624,Social assistance,2010,75,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,2,6241,Individual and family services,2010,76,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,2,62411,Child and youth services,2010,77,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,624110,Child and youth services,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,62419,Other individual and family services,2010,77,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,624190,Other individual and family services,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,92,Public Administration,2010,74,N,26,0,0,0,0,0,0,0,N,26,0,0,0,0,0,0,0,N,26,0,0,0,0,0,0,0,N,26,0,0,0,0,0,0,0,N,26,0,0,0,0,0,0
ENU,48423,0,0,2,921,"Executive, legislative and general government",2010,75,,4,52,51,52,588889,0,0,877,,4,52,53,55,557747,0,0,804,,4,55,56,54,588165,0,0,823,,4,54,54,55,590957,0,0,837,,4,54,2325758,0,0,835,43405
ENU,48423,0,0,2,9211,"Executive, legislative and general government",2010,76,,4,52,51,52,588889,0,0,877,,4,52,53,55,557747,0,0,804,,4,55,56,54,588165,0,0,823,,4,54,54,55,590957,0,0,837,,4,54,2325758,0,0,835,43405
ENU,48423,0,0,2,92112,Legislative bodies,2010,77,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,2,921120,Legislative bodies,2010,78,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,2,92113,Public finance activities,2010,77,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,2,921130,Public finance activities,2010,78,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,2,922,"Justice, public order, and safety activities",2010,75,,6,239,239,237,2819014,0,0,910,,6,257,258,253,3009495,0,0,904,,6,255,254,250,3005971,0,0,914,,6,254,253,251,3010770,0,0,917,,6,250,11845250,0,0,911,47381
ENU,48423,0,0,2,9221,"Justice, public order, and safety activities",2010,76,,6,239,239,237,2819014,0,0,910,,6,257,258,253,3009495,0,0,904,,6,255,254,250,3005971,0,0,914,,6,254,253,251,3010770,0,0,917,,6,250,11845250,0,0,911,47381
ENU,48423,0,0,2,92211,Courts,2010,77,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,922110,Courts,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,92212,Police protection,2010,77,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,922120,Police protection,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,92213,Legal counsel and prosecution,2010,77,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,2,922130,Legal counsel and prosecution,2010,78,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0,0,N,2,0,0,0,0,0,0
ENU,48423,0,0,2,92214,Correctional institutions,2010,77,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
ENU,48423,0,0,2,922140,Correctional institutions,2010,78,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0,0,N,1,0,0,0,0,0,0
